Wall time,Step,Value
1583692981.197283,0,0.8839977979660034
1583693008.422729,1,0.4837675094604492
1583693035.635278,2,0.4029666781425476
1583693062.874079,3,0.3760501742362976
1583693090.111606,4,0.3675675094127655
1583693117.337615,5,0.3474295437335968
1583693144.60905,6,0.3423873484134674
1583693172.168837,7,0.3366985023021698
1583693199.569203,8,0.3286537826061249
1583693229.05706,9,0.3277110159397125
1583693257.727805,10,0.3229054808616638
1583693285.612679,11,0.3218221366405487
1583693313.183263,12,0.3174232542514801
1583693340.66696,13,0.32123878598213196
1583693368.898435,14,0.31737273931503296
1583693397.274358,15,0.313843697309494
1583693426.203818,16,0.3128792643547058
1583693455.735429,17,0.31242984533309937
1583693483.526201,18,0.3082839846611023
1583693511.074304,19,0.3079244792461395
1583693538.590865,20,0.3055786192417145
1583693566.107266,21,0.3001527190208435
1583693593.67522,22,0.2989373207092285
1583693621.2042,23,0.3017250597476959
1583693649.432839,24,0.2960669994354248
