Wall time,Step,Value
1583692981.198389,0,0.9402115941047668
1583693008.423236,1,0.6955339908599854
1583693035.635776,2,0.6347965598106384
1583693062.874585,3,0.6132293343544006
1583693090.112118,4,0.6062734723091125
1583693117.33812,5,0.5894315242767334
1583693144.609566,6,0.5851387977600098
1583693172.169353,7,0.5802572965621948
1583693199.569718,8,0.573283314704895
1583693229.05757,9,0.5724604725837708
1583693257.728307,10,0.5682477355003357
1583693285.613195,11,0.5672937035560608
1583693313.183807,12,0.5634032487869263
1583693340.667469,13,0.5667793154716492
1583693368.898957,14,0.5633584260940552
1583693397.274873,15,0.560217559337616
1583693426.20485,16,0.559356153011322
1583693455.73594,17,0.5589542388916016
1583693483.526715,18,0.5552332997322083
1583693511.074812,19,0.5549094080924988
1583693538.591367,20,0.5527917146682739
1583693566.107766,21,0.5478619933128357
1583693593.675721,22,0.5467516183853149
1583693621.204712,23,0.5492950677871704
1583693649.433373,24,0.5441203713417053
