Group,Loss,Loss_SD,RMSE,RMSE_SD,Dev_Loss,Dev_Loss_SD,Dev_RMSE,Dev_RMSE_SD
0,0.3079919176950427,0.019699563649135197,0.55470672,0.017098796007316428,0.3036285952860878,0.01403279735134923,0.550885083,0.01241845362525066
1,0.32293252424115815,0.0132450919250855,0.568154857,0.011514622880421281,0.3012015691753161,0.007096043231897672,0.548780787,0.006420501695026718
2,0.32323406405015154,0.00860974074677316,0.568486641,0.007549825494402449,0.30004972524020046,0.004436326005929489,0.547753088,0.004033941527111684
3,0.38914591221704653,0.01726631243643246,0.623662492,0.013821026494191226,0.3472642099132909,0.010625356765912036,0.5892226020000001,0.008996458122102036
4,0.30979557264236507,0.010852610016131447,0.556508757,0.009673273957404539,0.30240308373316405,0.0025784041532176307,0.5499068930000001,0.0023438971080106995
5,0.30874922755307493,0.014971720521480993,0.555492291,0.013324318549566746,0.3016337793072475,0.00526837751684838,0.549191178,0.004778608957851229
6,0.30570696877138875,0.010766454835365702,0.55282293,0.009684664992865785,0.30145651516391014,0.005163616602750121,0.5490306760000001,0.004671355874039572
7,0.3077662905209597,0.008219069129855979,0.5547175619999999,0.007398139739111169,0.30095392144776023,0.0039868842413953,0.54858067,0.003629876459222813
8,0.3036918149577895,0.009719065624605028,0.55101276,0.008760374886407548,0.2996007685648503,0.0036103913823351493,0.547348064,0.003297681354294875
9,0.32194385653059865,0.013090244802580687,0.567284251,0.01150770165260419,0.30410271389467647,0.004053765452582649,0.551442871,0.00367076812536956
10,0.320305586097105,0.005976025331819024,0.5659308519999999,0.005277902926666614,0.3025224496567728,0.0026908535110465705,0.5500149999999999,0.002441868439928741
11,0.3773072236351486,0.008472247957553435,0.6142148470000001,0.0068820563124694905,0.3359755422357884,0.0013122542725922325,0.5796328660000001,0.0011312037728473125
12,0.4031324206238903,0.03888513063222613,0.6342302849999999,0.029738187927550758,0.36921449192746114,0.03965759230064842,0.6067940139999999,0.031867268081853896
